"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.60706070607E+009, -4.35504789278E-002, -2.49414379535E-002
+4.60708070807E+009, -4.37377983643E-002, -2.46025182299E-002
+4.60710071007E+009, -4.39362007575E-002, -2.43143806449E-002
+4.60712071207E+009, -4.41021270987E-002, -2.39880028348E-002
+4.60714071407E+009, -4.42569200925E-002, -2.37167984087E-002
+4.60716071607E+009, -4.44650977104E-002, -2.32935422270E-002
+4.60718071807E+009, -4.46877566530E-002, -2.30273350678E-002
+4.60720072007E+009, -4.47734990035E-002, -2.27008596974E-002
+4.60722072207E+009, -4.48961642025E-002, -2.24203407013E-002
+4.60724072407E+009, -4.51150330723E-002, -2.21120756863E-002
+4.60726072607E+009, -4.53031713046E-002, -2.17096930758E-002
+4.60728072807E+009, -4.54512372152E-002, -2.14147214280E-002
+4.60730073007E+009, -4.55651191666E-002, -2.11348005174E-002
+4.60732073207E+009, -4.58100956309E-002, -2.07031275164E-002
+4.60734073407E+009, -4.58033466822E-002, -2.04142584677E-002
+4.60736073607E+009, -4.60182584502E-002, -2.00357927409E-002
+4.60738073807E+009, -4.61172462040E-002, -1.98073099869E-002
+4.60740074007E+009, -4.63177888328E-002, -1.94333613387E-002
+4.60742074207E+009, -4.64569677745E-002, -1.89981013060E-002
+4.60744074407E+009, -4.65516117833E-002, -1.87113756486E-002
+4.60746074607E+009, -4.67212306141E-002, -1.83709358382E-002
+4.60748074807E+009, -4.68098544240E-002, -1.80635842673E-002
+4.60750075008E+009, -4.69300476838E-002, -1.77179315332E-002
+4.60752075208E+009, -4.70541903059E-002, -1.73650105903E-002
+4.60754075408E+009, -4.72837018664E-002, -1.69466289656E-002
+4.60756075608E+009, -4.73778580942E-002, -1.66586996459E-002
+4.60758075808E+009, -4.75086954026E-002, -1.63587865030E-002
+4.60760076008E+009, -4.76056588247E-002, -1.59507939364E-002
+4.60762076208E+009, -4.77175877984E-002, -1.56880870703E-002
+4.60764076408E+009, -4.77592191460E-002, -1.53423756209E-002
+4.60766076608E+009, -4.79203886230E-002, -1.49790001288E-002
+4.60768076808E+009, -4.80175486667E-002, -1.46246568292E-002
+4.60770077008E+009, -4.80875371025E-002, -1.41551211642E-002
+4.60772077208E+009, -4.81730729131E-002, -1.39562134622E-002
+4.60774077408E+009, -4.83310178752E-002, -1.36237245137E-002
+4.60776077608E+009, -4.83554672114E-002, -1.32701449273E-002
+4.60778077808E+009, -4.85234968449E-002, -1.29523801370E-002
+4.60780078008E+009, -4.86395813199E-002, -1.25457823049E-002
+4.60782078208E+009, -4.87026663952E-002, -1.21169425183E-002
+4.60784078408E+009, -4.87784485512E-002, -1.18526040448E-002
+4.60786078608E+009, -4.88996888340E-002, -1.14549286057E-002
+4.60788078808E+009, -4.89678430870E-002, -1.11308131237E-002
+4.60790079008E+009, -4.90640963718E-002, -1.07755437214E-002
+4.60792079208E+009, -4.91093140054E-002, -1.04442934489E-002
+4.60794079408E+009, -4.91936412386E-002, -9.99667621944E-003
+4.60796079608E+009, -4.93230611597E-002, -9.77839172170E-003
+4.60798079808E+009, -4.94216812325E-002, -9.33525000921E-003
+4.60800080008E+009, -4.94177995332E-002, -9.03844611473E-003
+4.60802080208E+009, -4.94883866924E-002, -8.61541204689E-003
+4.60804080408E+009, -4.95221054607E-002, -8.24463774933E-003
+4.60806080608E+009, -4.96785611202E-002, -7.96268829212E-003
+4.60808080808E+009, -4.96913593716E-002, -7.53814407716E-003
+4.60810081008E+009, -4.97087750033E-002, -7.23897735062E-003
+4.60812081208E+009, -4.97584347388E-002, -6.82822379950E-003
+4.60814081408E+009, -4.97509011415E-002, -6.46025718909E-003
+4.60816081608E+009, -4.98702107111E-002, -6.14174158432E-003
+4.60818081808E+009, -4.98890642263E-002, -5.78996714659E-003
+4.60820082008E+009, -4.99313885532E-002, -5.41978865193E-003
+4.60822082208E+009, -4.99330159143E-002, -4.93057586535E-003
+4.60824082408E+009, -4.99515422524E-002, -4.66498434796E-003
+4.60826082608E+009, -4.99745602833E-002, -4.30917362239E-003
+4.60828082808E+009, -5.00558036707E-002, -3.87375662930E-003
+4.60830083008E+009, -5.01544131938E-002, -3.64876135545E-003
+4.60832083208E+009, -5.01935409824E-002, -3.19413564065E-003
